Name,ID,type,cpd_ids
Water,h2o[e],Nutrient,cpd00001
Maltose,malt[e],Nutrient,cpd00179
L-histidine,his__L[e],Nutrient,cpd00119
D-galacturonate,galur[e],Nutrient,cpd00280
L-tryptophan,trp__L[e],Nutrient,cpd00065
L-tyrosine,tyr__L[e],Nutrient,cpd00069
D-gluconate,glcn[e],Nutrient,cpd00222
Myo-inositol,inost[e],Nutrient,cpd00121
L-arabinose,arab__L[e],Nutrient,cpd00224
L-glutamate,glu__L[e],Nutrient,cpd00023
L-glutamine,gln__L[e],Nutrient,cpd00053
L-arginine,arg__L[e],Nutrient,cpd00051
D-xylose,xyl__D[e],Nutrient,cpd00154
D-mannitol,mnl[e],Nutrient,cpd00314
Glycerol,glyc[e],Nutrient,cpd00100
Methanol,meoh[e],Nutrient,cpd00116
Succinate,succ[e],Nutrient,cpd00036
Coniferol,confrl[e],Nutrient,cpd00458
L-threonine,thr__L[e],Nutrient,cpd00161
Benzoate,bz[e],Nutrient,cpd00153
L-leucine,leu__L[e],Nutrient,cpd00107
L-methionine,met__L[e],Nutrient,cpd00060
Formate,for[e],Nutrient,cpd00047
Fructose,fru[e],Nutrient,cpd00082
D-mannose,man[e],Nutrient,cpd00138
L-ornithine,orn[e],Nutrient,cpd00064
L-valine,val__L[e],Nutrient,cpd00156
L-aspartate,asp__L[e],Nutrient,cpd00041
D-glucose,glc__D[e],Nutrient,cpd00027
Glycine,gly[e],Nutrient,cpd00033
L-serine,ser__L[e],Nutrient,cpd00054
L-isoleucine,ile__L[e],Nutrient,cpd00322
L-alanine,ala__L[e],Nutrient,cpd00035
Acetate,ac[e],Nutrient,cpd00029
Trehalose,tre[e],Nutrient,cpd00794
Pyruvate,pyr[e],Nutrient,cpd00020
L-cysteine,cys__L[e],Nutrient,cpd00084
Methylamine,mma[e],Nutrient,cpd00187
Cellobiose,cellb[e],Nutrient,cpd00158
L-asparagine,asn__L[e],Nutrient,cpd00132
L-proline,pro__L[e],Nutrient,cpd00129
Oxalate,oxa[e],Nutrient,cpd00180
Sucrose,sucr[e],Nutrient,cpd00076
D-galactose,gal[e],Nutrient,cpd00108
L-lysine,lys__L[e],Nutrient,cpd00039
L-phenylalanine,phe__L[e],Nutrient,cpd00066
Xylan (4),xylan4[e],Nutrient,cpd11732
Xylan (8),xylan8[e],Nutrient,cpd11732
Xylan (12),xylan12[e],Nutrient,cpd11732
