index,carbon,exp_yield,pred_growth
PAl,Glycerol,762.0129628,0.2276189597370237
PAl,Glutamine,407.040772,0.1728210292027947
PAl,Cellobiose,843.6675361,0.8112573180364999
PAl,Rhamnose,65.77048475,0.0
PAl,Maltose,-11.98514314,0.0
PAl,Mannose,574.7280224,0.4610743030570448
PAl,GlcNAc,107.0617886,0.0
PAl,Trehalose,814.96808,0.8112573180370871
PAl,Glucose,652.6405054,0.4610743030570522
PAl,Mix,792.7081672,3.731606323955105
PAl,Pyruvate,341.6227055,0.22761895973702453
PAl,Alanine,381.887542,0.16925512390700864
PAl,Fructose,632.5793656,0.46107430305704633
PAl,Galactose,106.3520778,0.0
PAl,Ribose,361.0402629,0.40271046722705367
PAl,Xylose,786.2151954,0.37352854931203633
PAl,Mannitol,397.7951717,0.40271046722697695
PAl,L-Arabinose,757.6725884,0.3735285493120301
PAl,Sorbitol,815.0345006,0.4027104672270984
PAl,Lactose,777.3192556,0.782075400122029
PAl,Sucrose,861.4740632,0.8112573180370842
PAl,Raffinose,125.1193892,0.0
PAl,Uridine,28.87741659,0.0
PAl,Arabinogalactan,5.98082214,0.0
PAl,Melezitose,1.265305039,0.0
PAl,Water,0.0,0.0
PAl,D-Arabinose,-1.375434693,0.0
PAl,Serine,40.33704753,0.0
PAl,Isoleucine,0.539442498,0.0
PAl,Arginine,5.38549103,0.0
PAl,Acetate,60.97607188,0.0
PAl,Citrate,316.5171358,0.41441978061180196
PAl,Fumarate,195.5627765,0.31516471348203157
PAl,Succinate,415.3804944,0.25680087765199144
PAl,Proline,276.2022061,0.1132275708564035
PAg2,Glycerol,569.8125853,0.22771231626875507
PAg2,Glutamine,1077.74375,0.17289340466943243
PAg2,Cellobiose,28.16259946,0.0
PAg2,Rhamnose,548.7011544,0.25690620296910854
PAg2,Maltose,586.1071801,0.8115900502912258
PAg2,Mannose,1221.121901,0.46126340987774433
PAg2,GlcNAc,1005.075383,0.4904572965788606
PAg2,Trehalose,843.1642308,0.8115900502914177
PAg2,Glucose,478.1243025,0.46126340987774067
PAg2,Mix,571.556698,3.822914305175231
PAg2,Pyruvate,995.5846006,0.22771231626875865
PAg2,Alanine,335.2666953,0.16932454286651513
PAg2,Fructose,563.4959264,0.46126340987780723
PAg2,Galactose,191.944575,0.0
PAg2,Ribose,758.3648226,0.40287563647548913
PAg2,Xylose,302.427343,0.37368174977437735
PAg2,Mannitol,609.3090913,0.4028756364755004
PAg2,L-Arabinose,432.1061677,0.37368174977435814
PAg2,Sorbitol,-0.263921939,0.0
PAg2,Lactose,-5.627533457,0.0
PAg2,Sucrose,855.1889566,0.8115900502912232
PAg2,Raffinose,-11.30222919,0.0
PAg2,Uridine,0.467748373,0.0
PAg2,Arabinogalactan,11.06005271,0.0
PAg2,Melezitose,-6.575635734,0.0
PAg2,Water,0.0,0.0
PAg2,D-Arabinose,126.978597,0.0
PAg2,Serine,6.011328387,0.0
PAg2,Isoleucine,-9.821734235,0.0
PAg2,Arginine,-9.806848215,0.0
PAg2,Acetate,-7.310689034,0.0
PAg2,Citrate,-9.039451639,0.0
PAg2,Fumarate,453.2894476,0.31529397637213546
PAg2,Succinate,473.1468787,0.25690620296989164
PAg2,Proline,947.9888487,0.11327498926617545
PAg1,Glycerol,1716.602193,0.22888234425267046
PAg1,Glutamine,1101.221611,0.1738005851670169
PAg1,Cellobiose,1665.524017,0.8157601500286679
PAg1,Rhamnose,1029.934207,0.2582262345414374
PAg1,Maltose,806.4593457,0.8157601500286809
PAg1,Mannose,1281.82275,0.4636334665630582
PAg1,GlcNAc,1504.710911,0.4929773568518397
PAg1,Trehalose,1143.862881,0.8157601500287083
PAg1,Glucose,767.9964304,0.4636334665630662
PAg1,Mix,863.321746,3.843043716380356
PAg1,Pyruvate,1123.308469,0.22888234425264817
PAg1,Alanine,1038.708258,0.17019456367156216
PAg1,Fructose,1025.48989,0.4636334665630626
PAg1,Galactose,909.1049194,0.43428957627426223
PAg1,Ribose,921.4839883,0.4049456859854564
PAg1,Xylose,693.9718437,0.3756017956966566
PAg1,Mannitol,1266.185142,0.4049456859854582
PAg1,L-Arabinose,685.5277092,0.3756017956966549
PAg1,Sorbitol,9.798746427,0.0
PAg1,Lactose,-3.41981826,0.0
PAg1,Sucrose,1075.625678,0.8157601500286785
PAg1,Raffinose,-0.536134025,0.0
PAg1,Uridine,43.96733511,0.0
PAg1,Arabinogalactan,6.143840553,0.0
PAg1,Melezitose,-4.452316027,0.0
PAg1,Water,0.0,0.0
PAg1,D-Arabinose,0.996727968,0.0
PAg1,Serine,6.703918945,0.0
PAg1,Isoleucine,-6.700279365,0.0
PAg1,Arginine,-2.967629596,0.0
PAg1,Acetate,16.69558915,0.0
PAg1,Citrate,466.2263761,0.4167630869740301
PAg1,Fumarate,383.713474,0.3169140151190544
PAg1,Succinate,623.8148948,0.2582262345414495
PAg1,Proline,343.3243065,0.11386934890253035
PAg3,Glycerol,1276.430822,0.22884957257646776
PAg3,Glutamine,1141.217173,0.17377517298717196
PAg3,Cellobiose,1170.696581,0.8156433484135996
PAg3,Rhamnose,786.7023848,0.258189261368335
PAg3,Maltose,522.1737771,0.815643348413538
PAg3,Mannose,1111.261066,0.46356708291130805
PAg3,GlcNAc,1051.191814,0.4929067717031674
PAg3,Trehalose,740.2552927,0.8156433484136101
PAg3,Glucose,585.6809618,0.46356708291131665
PAg3,Mix,528.933615,3.5718826645192996
PAg3,Pyruvate,651.1091541,0.22884957257646957
PAg3,Alanine,933.691053,0.17017019499274938
PAg3,Fructose,743.3401758,0.4635670829113117
PAg3,Galactose,790.3790362,0.434227394119456
PAg3,Ribose,535.830633,0.4048877053275875
PAg3,Xylose,209.5249105,0.0
PAg3,Mannitol,825.1312568,0.40488770532763074
PAg3,L-Arabinose,344.5611369,0.3755480165357421
PAg3,Sorbitol,35.49741676,0.0
PAg3,Lactose,13.48396173,0.0
PAg3,Sucrose,698.0951736,0.815643348412649
PAg3,Raffinose,-8.378479844,0.0
PAg3,Uridine,42.21050896,0.0
PAg3,Arabinogalactan,24.65192185,0.0
PAg3,Melezitose,10.0023732,0.0
PAg3,Water,0.0,0.0
PAg3,D-Arabinose,4.516500578,0.0
PAg3,Serine,79.13053284,0.0
PAg3,Isoleucine,8.128067047,0.0
PAg3,Arginine,25.83393484,0.0
PAg3,Acetate,14.37661331,0.0
PAg3,Citrate,306.9547127,0.4167016731343601
PAg3,Fumarate,351.677819,0.31686863895203504
PAg3,Succinate,455.9295555,0.2581892613683264
PAg3,Proline,195.0013551,0.0
LA,Glycerol,404.1172587,0.22262332382664704
LA,Glutamine,882.0955115,0.1719811179180505
LA,Cellobiose,560.527415,0.690311224199533
LA,Rhamnose,528.6002891,0.21654071935051666
LA,Maltose,622.4560099,0.6903112241995503
LA,Mannose,692.0453706,0.3960400096207116
LA,GlcNAc,385.9191478,0.3531254574945914
LA,Trehalose,508.2381873,0.6903112241995579
LA,Glucose,433.7442454,0.3960400096207041
LA,Mix,578.522223,3.6898276496919324
LA,Pyruvate,429.6173254,0.1496320701129978
LA,Alanine,667.5325679,0.1253016522084449
LA,Fructose,568.0747522,0.39293624915852277
LA,Galactose,701.3263302,0.24277375202755286
LA,Ribose,661.2274216,0.2243818011163806
LA,Xylose,554.3643898,0.3163415556722618
LA,Mannitol,483.3238514,0.3715174084058026
LA,L-Arabinose,570.599462,0.31634155567226474
LA,Sorbitol,18.25263117,0.0
LA,Lactose,45.90388791,0.0
LA,Sucrose,423.5670679,0.6903112241995342
LA,Raffinose,616.9976507,0.8313161811668726
LA,Uridine,62.01330523,0.0
LA,Arabinogalactan,48.2560962,0.0
LA,Melezitose,19.98372783,0.0
LA,Water,0.0,0.0
LA,D-Arabinose,5.215996474,0.0
LA,Serine,49.04281062,0.0
LA,Isoleucine,14.617636,0.0
LA,Arginine,13.29278431,0.0
LA,Acetate,79.29893934,0.0
LA,Citrate,301.5365524,0.35804496552073284
LA,Fumarate,73.85494465,0.0
LA,Succinate,36.72364084,0.0
LA,Proline,24.510709,0.0
EL,Glycerol,654.3671503,0.23559232548775613
EL,Glutamine,568.0429008,0.19597974947354274
EL,Cellobiose,516.1995089,0.8308708927354279
EL,Rhamnose,401.6829929,0.27150578973892303
EL,Maltose,677.395047,0.8308708927354267
EL,Mannose,722.0398761,0.46899332621303086
EL,GlcNAc,482.4285663,0.4979435315348232
EL,Trehalose,521.3341387,0.8308708927354611
EL,Glucose,546.7639875,0.4689933262130281
EL,Mix,416.6610373,5.226963307931874
EL,Pyruvate,398.835495,0.18758746162954978
EL,Alanine,565.2870821,0.17094808983562199
EL,Fructose,641.4278872,0.4654384966953057
EL,Galactose,985.0814981,0.324242299604074
EL,Ribose,789.5538124,0.2928795771721286
EL,Xylose,881.0785403,0.3797301931374995
EL,Mannitol,533.2065005,0.41833046689990094
EL,L-Arabinose,653.2726996,0.37973019313751244
EL,Sorbitol,607.0228445,0.4183304668998866
EL,Lactose,24.46639909,0.0
